chain_id	Nomenclature
SA	SSU-1
SB	SSU-2
SC	SSU-3
SD	SSU-4
SE	SSU-5
SF	SSU-6
SG	SSU-7
SH	SSU-8
SI	SSU-9
SJ	SSU-10
SK	SSU-11
SL	SSU-12
SM	SSU-13
SN	SSU-14
SO	SSU-15
SP	SSU-16
SQ	SSU-17
SR	SSU-18
SS	SSU-19
ST	SSU-20
SU	SSU-21
UC	SSU-X
RA	LSU-1
RB	LSU-2
RC	LSU-3
RD	LSU-4
RE	LSU-5
RF	LSU-6
RG	LSU-7
RI	LSU-8
RJ	LSU-9
RK	LSU-10
RL	LSU-11
RM	LSU-12
RN	LSU-13
RO	LSU-14
RP	LSU-15
RQ	LSU-16
RS	LSU-17
RT	LSU-18
RU	LSU-19
RV	LSU-20
RW	LSU-21
RX	LSU-22
RY	LSU-23
RZ	LSU-24
Ra	LSU-25
Rb	LSU-26
Rc	LSU-27
Rd	LSU-28
Rf	LSU-29
Rg	LSU-30
Rh	LSU-31
Ri	LSU-32
